"day","from","to","value"
"242","1","5",4.7940187
"243","1","5",4.923268
"244","1","5",4.8620315
"245","1","5",4.8276887
"246","1","5",4.984301
"247","1","5",4.9055486
"248","1","5",4.635286
"249","1","5",4.3741226
"250","1","5",4.8225074
"251","1","5",4.4241257
"252","1","5",4.515454
"232","2","5",8.411042
"233","2","5",8.179923
"234","2","5",8.176559
"235","2","5",8.007479
"236","2","5",8.294136
"237","2","5",8.196039
"238","2","5",8.28295
"239","2","5",8.081631
"240","2","5",8.27549
"241","2","5",7.870192
"242","2","5",8.077674
"243","2","5",8.27283
"244","2","5",8.066179
"245","2","5",8.007389
"246","2","5",8.17889
"247","2","5",8.210566
"248","2","5",7.741636
"249","2","5",7.5007076
"250","2","5",8.01609
"251","2","5",7.517494
"252","2","5",7.5594573
"232","3","5",13.6903305
"233","3","5",13.627246
"234","3","5",13.7127495
"235","3","5",13.167965
"236","3","5",13.601965
"237","3","5",13.482577
"238","3","5",13.685392
"239","3","5",13.328466
"240","3","5",13.605434
"241","3","5",13.060678
"242","3","5",13.410525
"243","3","5",13.582847
"244","3","5",13.405311
"245","3","5",13.290399
"246","3","5",13.614408
"247","3","5",13.6012945
"248","3","5",12.966529
"249","3","5",12.7089405
"250","3","5",13.117759
"251","3","5",12.778202
"252","3","5",12.791846
"232","4","5",7.6720924
"233","4","5",7.694297
"234","4","5",7.7127805
"235","4","5",7.3006744
"236","4","5",7.565413
"237","4","5",7.4718103
"238","4","5",7.6573853
"239","4","5",7.4521317
"240","4","5",7.5908823
"241","4","5",7.240857
"242","4","5",7.4503713
"243","4","5",7.54282
"244","4","5",7.4612894
"245","4","5",7.425304
"246","4","5",7.673558
"247","4","5",7.604202
"248","4","5",7.161852
"249","4","5",6.921114
"250","4","5",7.24873
"251","4","5",7.1148806
"252","4","5",7.032625
"232","5","5",5.4470935
"233","5","5",5.4983544
"234","5","5",5.4803476
"235","5","5",5.3422046
"236","5","5",5.423454
"237","5","5",5.4087415
"238","5","5",5.4974184
"239","5","5",5.3518233
"240","5","5",5.4720564
"241","5","5",5.275326
"242","5","5",5.404716
"243","5","5",5.430851
"244","5","5",5.4411473
"245","5","5",5.4238195
"246","5","5",5.501555
"247","5","5",5.4609785
"248","5","5",5.2701726
"249","5","5",5.148073
"250","5","5",5.2743244
"251","5","5",5.2023892
"252","5","5",5.145641
